"date","team","opponent","goals_scored","location","match_weight"
2013-07-28,"Germany","Norway",1,"N",3
2013-07-04,"Sweden","England",4,"H",2
2013-07-05,"Norway","Russia",2,"H",1
2013-07-06,"France","Australia",0,"H",2
2013-07-11,"Thailand","Malaysia",1,"H",1
2013-07-13,"Thailand","Malaysia",3,"H",1
2013-07-20,"Japan","China PR",2,"N",1
2013-07-21,"Korea Republic","Korea DPR",1,"H",1
2013-07-24,"Korea Republic","China PR",1,"H",1
2013-07-25,"Japan","Korea DPR",0,"N",2
2013-07-27,"Korea DPR","China PR",1,"N",1
2013-07-27,"Korea Republic","Japan",2,"H",1
2013-08-14,"Austria","Belgium",2,"H",1
2013-08-20,"Czech Republic","Poland",1,"N",1
2013-08-20,"Hungary","Slovakia",2,"H",1
2013-08-20,"FYR Macedonia","Bulgaria",2,"H",1
2013-08-20,"Slovenia","Bosnia and Herzegovina",1,"H",1
2013-08-21,"Serbia","Scotland",1,"H",1
2013-08-22,"Slovenia","Bosnia and Herzegovina",0,"H",1
2013-08-22,"FYR Macedonia","Bulgaria",2,"H",1
2013-08-22,"Poland","Slovakia",1,"N",1
2013-08-22,"Hungary","Czech Republic",1,"H",1
2013-08-23,"Lithuania","Latvia",2,"H",1
2013-08-24,"Estonia","Latvia",0,"N",1
2013-08-25,"Lithuania","Estonia",0,"H",1
2013-09-20,"FYR Macedonia","Romania",1,"H",3
2013-09-20,"Estonia","Italy",1,"H",3
2013-09-21,"Germany","Russia",9,"H",3
2013-09-21,"Switzerland","Serbia",9,"H",3
2013-09-21,"Sweden","Poland",2,"H",3
2013-09-21,"Belgium","Albania",2,"H",3
2013-09-21,"England","Belarus",6,"H",3
2013-09-21,"Kazakhstan","Finland",0,"H",3
2013-09-21,"Austria","Bulgaria",4,"H",3
2013-09-22,"Republic of Ireland","Slovakia",2,"H",3
2013-09-22,"Faroe Islands","Scotland",2,"H",3
2013-09-25,"Norway","Belgium",4,"H",3
2013-09-25,"Kazakhstan","France",0,"H",3
2013-09-25,"Finland","Austria",2,"H",3
2013-09-26,"Croatia","Republic of Ireland",1,"H",3
2013-09-26,"Slovakia","Slovenia",1,"H",3
2013-09-26,"Italy","Romania",1,"H",3
2013-09-26,"Iceland","Switzerland",0,"H",3
2013-09-26,"Poland","Faroe Islands",6,"H",3
2013-09-26,"Scotland","Bosnia and Herzegovina",7,"H",3
2013-09-26,"Albania","Netherlands",0,"H",3
2013-09-26,"Greece","Portugal",1,"H",3
2013-09-26,"Wales","Belarus",1,"H",3
2013-09-26,"England","Turkey",8,"H",3
2013-09-03,"USA","Mexico",7,"H",1
2013-09-03,"Hungary","Romania",3,"H",1
2013-09-03,"Laos","Jordan",0,"H",1
2013-09-05,"Laos","Jordan",4,"H",1
2013-09-05,"Hungary","Romania",5,"H",1
2013-09-09,"Thailand","Vietnam",0,"N",1
2013-09-09,"Jordan","Malaysia",1,"N",1
2013-09-10,"Estonia","Wales",2,"H",1
2013-09-10,"Myanmar","Laos",5,"H",1
2013-09-10,"Indonesia","Philippines",0,"N",1
2013-09-11,"Jordan","Thailand",0,"N",1
2013-09-12,"Indonesia","Laos",1,"N",1
2013-09-13,"Vietnam","Malaysia",1,"N",1
2013-09-14,"Myanmar","Philippines",5,"H",1
2013-09-15,"Jordan","Vietnam",0,"N",1
2013-09-16,"Myanmar","Indonesia",4,"H",1
2013-09-17,"Malaysia","Thailand",0,"N",1
2013-09-18,"Philippines","Laos",7,"N",1
2013-09-20,"France","Czech Republic",2,"H",1
2013-09-22,"Japan","Nigeria",2,"H",1
2013-09-22,"Brazil","New Zealand",0,"N",1
2013-09-22,"China PR","Mexico",1,"N",1
