"date","team","opponent","goals_scored","location","match_weight"
2015-03-06,"Austria","Hungary",1,"N",1
2015-03-06,"France","Denmark",4,"N",1
2015-03-06,"Australia","England",0,"N",2
2015-03-06,"Italy","Scotland",3,"N",1
2015-03-06,"Czech Republic","Mexico",0,"N",1
2015-03-06,"Botswana","Madagascar",0,"H",1
2015-03-06,"USA","Switzerland",3,"N",1
2015-03-06,"Norway","Iceland",1,"N",1
2015-03-09,"Hungary","Slovakia",1,"N",1
2015-03-09,"Romania","Poland",0,"N",1
2015-03-09,"Netherlands","England",1,"N",1
2015-03-09,"Italy","Canada",0,"N",1
2015-03-09,"South Africa","Czech Republic",0,"N",1
2015-03-09,"Croatia","Northern Ireland",2,"H",1
2015-03-09,"Wales","Costa Rica",1,"N",1
2015-03-09,"Republic of Ireland","Austria",0,"N",1
2015-03-09,"Portugal","Denmark",2,"H",1
2015-03-09,"Japan","France",1,"N",2
2015-03-09,"Scotland","Korea Republic",2,"N",1
2015-03-09,"Australia","Finland",3,"N",1
2015-03-09,"Mexico","Belgium",0,"N",1
2015-03-09,"USA","Iceland",0,"N",1
2015-03-09,"Sweden","China PR",3,"N",1
2015-03-09,"Norway","Switzerland",2,"N",1
2015-03-09,"Brazil","Germany",1,"N",2
2015-03-11,"Finland","South Africa",2,"N",1
2015-03-11,"Korea Republic","Belgium",1,"N",1
2015-03-11,"Scotland","Netherlands",3,"N",1
2015-03-11,"Costa Rica","Republic of Ireland",1,"N",1
2015-03-11,"Hungary","Romania",3,"N",1
2015-03-11,"Northern Ireland","Bosnia and Herzegovina",0,"N",1
2015-03-11,"Italy","Mexico",2,"N",1
2015-03-11,"Japan","Iceland",2,"N",1
2015-03-11,"Sweden","Germany",1,"N",2
2015-03-11,"Australia","Czech Republic",6,"N",1
2015-03-11,"Croatia","Wales",1,"H",1
2015-03-11,"Slovakia","Poland",0,"N",1
2015-03-11,"Brazil","Switzerland",4,"N",1
2015-03-11,"France","USA",0,"N",2
2015-03-11,"Portugal","China PR",3,"H",1
2015-03-11,"Canada","England",0,"N",2
2015-03-11,"Norway","Denmark",5,"N",1
2015-03-12,"Greece","Lebanon",14,"N",1
2015-03-12,"Latvia","United Arab Emirates",2,"N",1
2015-03-12,"Cyprus","Bahrain",1,"H",1
2015-03-12,"Thailand","Papua New Guinea",11,"H",1
2015-03-13,"Latvia","Lebanon",6,"N",1
2015-03-13,"Greece","United Arab Emirates",7,"N",1
2015-03-13,"Cyprus","Malta",2,"H",1
2015-03-14,"Thailand","Papua New Guinea",7,"H",1
2015-03-15,"Bahrain","Malta",1,"N",1
2015-03-15,"Lebanon","United Arab Emirates",0,"N",1
2015-03-15,"Greece","Latvia",4,"N",1
2015-03-17,"Colombia","Venezuela",3,"H",1
2015-03-18,"Bahrain","Lebanon",3,"N",1
2015-03-18,"Latvia","Malta",0,"N",1
2015-03-18,"Cyprus","Greece",0,"H",1
2015-03-19,"Colombia","Venezuela",3,"H",1
2015-03-21,"Mali","Nigeria",1,"H",1
2015-03-21,"Ethiopia","Cameroon",1,"H",1
2015-03-21,"Namibia","Swaziland",6,"H",1
2015-03-21,"Egypt","Senegal",0,"H",1
2015-03-21,"Botswana","South Africa",0,"H",1
2015-03-21,"Ghana","Zimbabwe",2,"H",1
2015-03-22,"Zambia","Tanzania",2,"H",1
2015-03-24,"Luxembourg","Albania",0,"H",1
2015-04-04,"Georgia","Faroe Islands",2,"N",2
2015-04-04,"Luxembourg","Latvia",4,"N",2
2015-04-04,"Malta","Andorra",5,"H",2
2015-04-04,"Moldova","Lithuania",2,"H",2
2015-04-06,"Faroe Islands","Andorra",8,"N",2
2015-04-06,"Lithuania","Luxembourg",2,"N",2
2015-04-06,"Malta","Georgia",2,"H",2
2015-04-06,"Moldova","Latvia",0,"H",2
2015-04-09,"Andorra","Georgia",0,"N",2
2015-04-09,"Malta","Faroe Islands",2,"H",2
2015-04-09,"Latvia","Lithuania",1,"N",2
2015-04-09,"Moldova","Luxembourg",3,"H",2
2015-04-04,"Iceland","Netherlands",2,"H",1
2015-04-04,"USA","New Zealand",4,"H",1
2015-04-05,"Korea Republic","Russia",1,"H",1
2015-04-05,"Sweden","Switzerland",1,"H",1
2015-04-06,"Finland","Poland",1,"H",1
2015-04-07,"Austria","Australia",2,"H",1
2015-04-08,"Korea Republic","Russia",2,"H",1
2015-04-08,"Sweden","Denmark",3,"H",1
2015-04-08,"Norway","Netherlands",2,"H",1
2015-04-08,"Germany","Brazil",4,"H",2
2015-04-08,"Spain","Republic of Ireland",1,"H",1
2015-04-08,"Wales","Slovakia",1,"H",1
2015-04-09,"Scotland","Australia",1,"H",1
2015-04-09,"England","China PR",2,"H",1
2015-04-10,"Nigeria","Mali",8,"H",1
2015-04-10,"Tanzania","Zambia",2,"H",1
2015-04-11,"Cameroon","Ethiopia",2,"H",1
2015-04-11,"Senegal","Egypt",1,"H",1
2015-04-11,"South Africa","Botswana",5,"H",1
2015-04-11,"Ecuador","Colombia",1,"H",1
2015-04-12,"Zimbabwe","Ghana",2,"H",1
2015-04-15,"Colombia","Ecuador",2,"H",1
2015-04-18,"Thailand","Malaysia",5,"H",1
2015-04-28,"FYR Macedonia","Montenegro",0,"H",1
2015-04-29,"FYR Macedonia","Montenegro",1,"H",1
2015-05-22,"Botswana","Kenya",2,"H",3
2015-05-23,"Congo","Equatorial Guinea",0,"H",3
2015-05-23,"Gabon","South Africa",2,"H",3
2015-05-23,"Egypt","Ghana",1,"H",3
2015-05-24,"Zambia","Zimbabwe",2,"H",3
2015-05-31,"Kenya","Botswana",1,"H",3
2015-05-31,"South Africa","Gabon",5,"H",3
2015-05-31,"Zimbabwe","Zambia",1,"H",3
2015-05-31,"Equatorial Guinea","Congo",4,"H",3
2015-05-31,"Ghana","Egypt",3,"H",3
2015-05-01,"Indonesia","Laos",0,"N",1
2015-05-02,"Malaysia","Philippines",0,"N",1
2015-05-02,"Vietnam","Myanmar",3,"H",1
2015-05-03,"Indonesia","Thailand",1,"N",1
2015-05-04,"Myanmar","Philippines",4,"N",1
2015-05-04,"Vietnam","Malaysia",7,"H",1
2015-05-05,"Laos","Thailand",0,"N",1
2015-05-06,"Myanmar","Malaysia",4,"N",1
2015-05-06,"Vietnam","Philippines",4,"H",1
2015-05-08,"Vietnam","Thailand",1,"H",1
2015-05-10,"Myanmar","Thailand",2,"N",1
2015-05-10,"C担te d'Ivoire","Cameroon",2,"H",1
2015-05-10,"USA","Republic of Ireland",3,"H",1
2015-05-17,"USA","Mexico",5,"H",1
2015-05-19,"Australia","Vietnam",4,"H",1
2015-05-20,"Netherlands","Estonia",7,"H",1
2015-05-21,"Australia","Vietnam",11,"H",1
2015-05-22,"Bahrain","Kyrgyzstan",2,"H",1
2015-05-22,"France","Russia",2,"H",1
2015-05-23,"Belgium","Norway",3,"H",1
2015-05-24,"Japan","New Zealand",1,"H",1
2015-05-25,"Mexico","Costa Rica",2,"H",1
2015-05-25,"Bahrain","Kyrgyzstan",1,"H",1
2015-05-27,"Switzerland","Germany",1,"H",1
2015-05-28,"Mexico","Costa Rica",3,"H",1
2015-05-28,"Japan","Italy",1,"H",1
2015-05-28,"France","Scotland",1,"H",1
2015-05-29,"Norway","Finland",2,"H",1
2015-05-29,"Canada","England",1,"N",2
2015-05-30,"Sweden","Netherlands",2,"N",1
2015-05-30,"USA","Korea Republic",0,"H",1
2015-06-06,"New Zealand","Netherlands",0,"N",4
2015-06-06,"Canada","China PR",1,"H",4
2015-06-07,"Norway","Thailand",4,"N",4
2015-06-07,"Germany","C担te d'Ivoire",10,"N",4
2015-06-08,"Japan","Switzerland",1,"N",4
2015-06-08,"Cameroon","Ecuador",6,"N",4
2015-06-08,"Sweden","Nigeria",3,"N",4
2015-06-08,"USA","Australia",3,"N",4
2015-06-09,"Spain","Costa Rica",1,"N",4
2015-06-09,"Brazil","Korea Republic",2,"N",4
2015-06-09,"France","England",1,"N",4
2015-06-09,"Colombia","Mexico",1,"N",4
2015-06-11,"Canada","New Zealand",0,"H",4
2015-06-11,"China PR","Netherlands",1,"N",4
2015-06-11,"Germany","Norway",1,"N",4
2015-06-11,"C担te d'Ivoire","Thailand",2,"N",4
2015-06-12,"Japan","Cameroon",2,"N",4
2015-06-12,"Switzerland","Ecuador",10,"N",4
2015-06-12,"USA","Sweden",0,"N",4
2015-06-12,"Australia","Nigeria",2,"N",4
2015-06-13,"Brazil","Spain",1,"N",4
2015-06-13,"Korea Republic","Costa Rica",2,"N",4
2015-06-13,"France","Colombia",0,"N",4
2015-06-13,"England","Mexico",2,"N",4
2015-06-15,"Netherlands","Canada",1,"A",4
2015-06-15,"China PR","New Zealand",2,"N",4
2015-06-15,"C担te d'Ivoire","Norway",1,"N",4
2015-06-15,"Thailand","Germany",0,"N",4
2015-06-16,"Ecuador","Japan",0,"N",4
2015-06-16,"Switzerland","Cameroon",1,"N",4
2015-06-16,"Australia","Sweden",1,"N",4
2015-06-16,"Nigeria","USA",0,"N",4
2015-06-17,"Korea Republic","Spain",2,"N",4
2015-06-17,"Costa Rica","Brazil",0,"N",4
2015-06-17,"Mexico","France",0,"N",4
2015-06-17,"England","Colombia",2,"N",4
2015-06-20,"Germany","Sweden",4,"N",4
2015-06-20,"China PR","Cameroon",1,"N",4
2015-06-21,"Brazil","Australia",0,"N",4
2015-06-21,"France","Korea Republic",3,"N",4
2015-06-21,"Canada","Switzerland",1,"H",4
2015-06-22,"USA","Colombia",2,"N",4
2015-06-22,"Norway","England",1,"N",4
2015-06-23,"Japan","Netherlands",2,"N",4
2015-06-26,"Germany","France",1,"N",4
2015-06-26,"China PR","USA",0,"N",4
2015-06-27,"Australia","Japan",0,"N",4
2015-06-27,"England","Canada",2,"A",4
2015-06-30,"USA","Germany",2,"N",4
2015-06-02,"Bosnia and Herzegovina","Croatia",1,"H",1
2015-06-04,"Croatia","Bosnia and Herzegovina",1,"H",1
2015-06-11,"Hungary","Slovenia",2,"N",1
2015-06-23,"Serbia","Romania",1,"H",1
2015-06-25,"Serbia","Romania",1,"H",1
2015-06-25,"Montenegro","Albania",1,"H",1
2015-07-01,"Japan","England",2,"N",4
2015-07-04,"Germany","England",0,"N",4
2015-07-05,"USA","Japan",5,"N",4
2015-07-18,"South Africa","Kenya",1,"H",3
2015-07-18,"Cameroon","Ghana",1,"H",3
2015-07-18,"Nigeria","Equatorial Guinea",1,"H",3
2015-07-06,"Papua New Guinea","Fiji",5,"H",3
2015-07-06,"Solomon Islands","New Caledonia",1,"N",3
2015-07-06,"Tonga","Samoa",0,"N",3
2015-07-08,"Solomon Islands","Tonga",0,"N",3
2015-07-08,"Fiji","Cook Islands",1,"N",3
2015-07-08,"New Caledonia","Samoa",2,"N",3
2015-07-11,"Papua New Guinea","Cook Islands",2,"H",3
2015-07-11,"New Caledonia","Tonga",6,"N",3
2015-07-11,"Samoa","Solomon Islands",2,"N",3
2015-07-13,"Papua New Guinea","Samoa",3,"H",3
2015-07-13,"New Caledonia","Cook Islands",5,"N",3
2015-07-16,"Papua New Guinea","New Caledonia",1,"H",3
2015-07-16,"Cook Islands","Samoa",2,"N",3
2015-08-01,"Ghana","Cameroon",2,"H",3
2015-08-02,"Kenya","South Africa",0,"H",3
2015-08-02,"Equatorial Guinea","Nigeria",2,"H",3
2015-08-21,"Puerto Rico","Grenada",12,"H",3
2015-08-21,"St. Kitts and Nevis","Guyana",0,"N",3
2015-08-21,"Aruba","Haiti",0,"N",3
2015-08-21,"Dominican Republic","Dominica",11,"H",3
2015-08-23,"Guyana","Cuba",1,"N",3
2015-08-23,"Haiti","Grenada",13,"N",3
2015-08-23,"Dominican Republic","Jamaica",0,"H",3
2015-08-23,"Puerto Rico","Aruba",9,"H",3
2015-08-25,"Puerto Rico","Haiti",3,"H",3
2015-08-25,"St. Kitts and Nevis","Cuba",0,"N",3
2015-08-25,"Grenada","Aruba",2,"N",3
2015-08-25,"Dominica","Jamaica",0,"N",3
2015-08-01,"Vietnam","Chinese Taipei",3,"H",1
2015-08-01,"Hungary","Slovakia",4,"H",1
2015-08-01,"Poland","Belarus",2,"N",1
2015-08-01,"Korea DPR","Japan",4,"N",2
2015-08-01,"China PR","Korea Republic",0,"H",1
2015-08-03,"Poland","Slovakia",0,"N",1
2015-08-03,"Hungary","Belarus",2,"H",1
2015-08-04,"Vietnam","Chinese Taipei",0,"H",1
2015-08-04,"Japan","Korea Republic",1,"N",1
2015-08-04,"China PR","Korea DPR",2,"H",1
2015-08-05,"Slovakia","United Arab Emirates",9,"H",1
2015-08-07,"Slovakia","United Arab Emirates",6,"H",1
2015-08-08,"Korea Republic","Korea DPR",0,"N",1
2015-08-08,"China PR","Japan",0,"H",1
2015-08-16,"USA","Costa Rica",8,"H",1
2015-08-19,"USA","Costa Rica",7,"H",1
2015-08-19,"Albania","Turkey",1,"H",1
2015-08-21,"Albania","Turkey",0,"H",1
2015-08-23,"Tanzania","Kenya",1,"H",1
2015-08-24,"Jordan","Morocco",2,"H",1
2015-08-26,"Jordan","Morocco",2,"H",1
2015-08-27,"Romania","Moldova",5,"H",1
2015-08-27,"Serbia","Slovenia",2,"H",1
2015-08-28,"Estonia","Latvia",1,"H",1
2015-08-29,"Latvia","Lithuania",0,"N",1
2015-08-30,"Estonia","Lithuania",1,"H",1
2015-08-31,"Croatia","Albania",7,"H",1
2015-09-14,"Chinese Taipei","Vietnam",1,"N",3
2015-09-14,"Jordan","Myanmar",0,"A",3
2015-09-16,"Jordan","Chinese Taipei",0,"N",3
2015-09-16,"Myanmar","Thailand",1,"H",3
2015-09-18,"Thailand","Jordan",1,"N",3
2015-09-18,"Vietnam","Myanmar",4,"A",3
2015-09-20,"Vietnam","Jordan",2,"N",3
2015-09-20,"Chinese Taipei","Thailand",0,"N",3
2015-09-22,"Thailand","Vietnam",0,"N",3
2015-09-22,"Myanmar","Chinese Taipei",3,"H",3
2015-09-17,"Kazakhstan","Austria",0,"H",2
2015-09-17,"Moldova","Sweden",0,"H",2
2015-09-17,"Turkey","Croatia",1,"H",2
2015-09-17,"Finland","Montenegro",1,"H",2
2015-09-17,"Estonia","Serbia",0,"H",2
2015-09-18,"Germany","Hungary",12,"H",2
2015-09-18,"Italy","Georgia",6,"H",2
2015-09-21,"Estonia","England",0,"H",2
2015-09-21,"Republic of Ireland","Finland",0,"H",2
2015-09-22,"Kazakhstan","Norway",0,"H",2
2015-09-22,"Slovenia","Scotland",0,"H",2
2015-09-22,"Georgia","Czech Republic",0,"H",2
2015-09-22,"Austria","Wales",3,"H",2
2015-09-22,"Sweden","Poland",3,"H",2
2015-09-22,"Croatia","Germany",0,"H",2
2015-09-22,"Iceland","Belarus",2,"H",2
2015-09-22,"Belgium","Bosnia and Herzegovina",6,"H",2
2015-09-22,"France","Romania",3,"H",2
2015-09-30,"Nicaragua","El Salvador",0,"H",3
2015-09-30,"Guatemala","Costa Rica",1,"N",3
2015-09-02,"Croatia","Albania",3,"H",1
2015-09-06,"Tanzania","C担te d'Ivoire",0,"N",1
2015-09-06,"Congo","Nigeria",1,"H",1
2015-09-07,"Cameroon","South Africa",1,"N",1
2015-09-09,"Nigeria","Tanzania",3,"N",1
2015-09-09,"Congo","C担te d'Ivoire",0,"H",1
2015-09-10,"South Africa","Ghana",0,"N",1
2015-09-12,"Nigeria","C担te d'Ivoire",1,"N",1
2015-09-12,"Congo","Tanzania",1,"H",1
2015-09-13,"Cameroon","Ghana",1,"N",1
2015-09-15,"C担te d'Ivoire","Ghana",0,"N",1
2015-09-15,"Cameroon","Nigeria",2,"N",1
2015-09-16,"Belgium","Poland",5,"H",1
2015-09-17,"Romania","Denmark",0,"H",1
2015-09-17,"C担te d'Ivoire","Nigeria",2,"N",1
2015-09-17,"Iceland","Slovakia",4,"H",1
2015-09-17,"Netherlands","Belarus",8,"H",1
2015-09-17,"Scotland","Norway",0,"H",1
2015-09-17,"USA","Haiti",5,"H",1
2015-09-18,"China PR","Spain",1,"H",1
2015-09-18,"Ghana","Cameroon",1,"N",1
2015-09-19,"Portugal","Ukraine",1,"H",1
2015-09-19,"France","Brazil",2,"H",2
2015-09-20,"USA","Haiti",8,"H",1
2015-09-21,"China PR","Spain",1,"H",1
2015-09-21,"Portugal","Ukraine",0,"H",1
2015-09-22,"Switzerland","Denmark",4,"H",1
2015-10-03,"South Africa","Equatorial Guinea",0,"H",3
2015-10-03,"Cameroon","Zimbabwe",2,"H",3
2015-10-18,"Zimbabwe","Cameroon",1,"H",3
2015-10-18,"Equatorial Guinea","South Africa",0,"H",3
2015-10-19,"Slovenia","Belarus",3,"H",2
2015-10-21,"Hungary","Turkey",1,"H",2
2015-10-22,"Israel","Kazakhstan",0,"H",2
2015-10-22,"FYR Macedonia","Iceland",0,"H",2
2015-10-22,"Albania","Greece",1,"H",2
2015-10-22,"Germany","Russia",2,"H",2
2015-10-22,"Poland","Slovakia",2,"H",2
2015-10-22,"Ukraine","Romania",2,"H",2
2015-10-22,"Denmark","Moldova",4,"H",2
2015-10-23,"Bosnia and Herzegovina","Estonia",4,"H",2
2015-10-23,"Norway","Wales",4,"H",2
2015-10-23,"Scotland","Belarus",7,"H",2
2015-10-24,"Italy","Switzerland",0,"H",2
2015-10-24,"Georgia","Northern Ireland",0,"H",2
2015-10-25,"Israel","Austria",0,"H",2
2015-10-25,"Germany","Turkey",7,"H",2
2015-10-25,"Croatia","Hungary",1,"H",2
2015-10-26,"Slovakia","Moldova",4,"H",2
2015-10-26,"Slovenia","Iceland",0,"H",2
2015-10-27,"Romania","Albania",3,"H",2
2015-10-27,"FYR Macedonia","Scotland",1,"H",2
2015-10-27,"Bosnia and Herzegovina","Belgium",0,"H",2
2015-10-27,"Serbia","Estonia",3,"H",2
2015-10-27,"Portugal","Republic of Ireland",1,"H",2
2015-10-27,"Finland","Spain",1,"H",2
2015-10-27,"Switzerland","Georgia",4,"H",2
2015-10-27,"Sweden","Denmark",1,"H",2
2015-10-27,"Czech Republic","Italy",0,"H",2
2015-10-27,"Ukraine","France",0,"H",2
2015-10-02,"Nicaragua","Guatemala",1,"H",3
2015-10-02,"Costa Rica","El Salvador",3,"N",3
2015-10-04,"Nicaragua","Costa Rica",0,"H",3
2015-10-04,"El Salvador","Guatemala",0,"N",3
2015-10-13,"Estonia","Malta",1,"H",1
2015-10-15,"Estonia","Malta",0,"H",1
2015-10-21,"USA","Brazil",1,"H",2
2015-10-23,"China PR","England",2,"H",1
2015-10-23,"France","Netherlands",1,"H",1
2015-10-25,"China PR","Australia",1,"H",1
2015-10-25,"USA","Brazil",3,"H",2
2015-10-27,"England","Australia",1,"N",2
2015-11-25,"Turkey","Russia",0,"H",2
2015-11-25,"Serbia","Bosnia and Herzegovina",0,"H",2
2015-11-26,"FYR Macedonia","Belarus",0,"H",2
2015-11-26,"Republic of Ireland","Spain",0,"H",2
2015-11-26,"Wales","Kazakhstan",4,"H",2
2015-11-26,"Portugal","Montenegro",6,"H",2
2015-11-26,"Slovakia","Denmark",0,"H",2
2015-11-27,"Moldova","Poland",1,"H",2
2015-11-27,"Greece","Romania",1,"H",2
2015-11-27,"Northern Ireland","Switzerland",1,"H",2
2015-11-27,"Albania","France",0,"H",2
2015-11-29,"Hungary","Russia",0,"H",2
2015-11-29,"Scotland","FYR Macedonia",10,"H",2
2015-11-29,"England","Bosnia and Herzegovina",1,"H",2
2015-11-30,"Belgium","Serbia",1,"H",2
2015-11-30,"Croatia","Turkey",3,"H",2
2015-11-13,"Trinidad and Tobago","St. Lucia",6,"H",3
2015-11-15,"St. Lucia","Trinidad and Tobago",1,"A",3
2015-11-18,"Puerto Rico","Guyana",1,"N",3
2015-11-18,"Trinidad and Tobago","Jamaica",2,"H",3
2015-11-20,"Guyana","Jamaica",2,"N",3
2015-11-20,"Trinidad and Tobago","Puerto Rico",1,"H",3
2015-11-07,"Tanzania","Malawi",2,"H",1
2015-11-26,"Germany","England",0,"H",2
2015-11-28,"Brazil","New Zealand",0,"H",1
2015-11-29,"Korea Republic","Australia",0,"H",1
2015-11-29,"Netherlands","Japan",3,"H",1
2015-12-01,"Spain","Portugal",2,"H",2
2015-12-01,"Greece","France",0,"H",2
2015-12-01,"Switzerland","Czech Republic",5,"H",2
2015-12-01,"Israel","Wales",2,"H",2
2015-12-01,"Moldova","Slovakia",0,"H",2
2015-12-01,"Brazil","New Zealand",5,"H",1
2015-12-03,"China PR","Italy",1,"H",1
2015-12-06,"China PR","Italy",2,"H",1
2015-12-09,"Canada","Mexico",3,"N",1
2015-12-09,"Brazil","Trinidad and Tobago",11,"H",1
2015-12-10,"USA","Trinidad and Tobago",6,"H",1
2015-12-13,"USA","China PR",2,"H",1
2015-12-13,"Brazil","Mexico",6,"H",1
2015-12-13,"Trinidad and Tobago","Canada",0,"N",1
2015-12-15,"Algeria","Tunisia",1,"H",1
2015-12-16,"USA","China PR",0,"H",1
2015-12-16,"Trinidad and Tobago","Mexico",0,"N",1
2015-12-16,"Brazil","Canada",2,"H",1
2015-12-18,"Algeria","Tunisia",1,"H",1
2015-12-20,"Mexico","Trinidad and Tobago",2,"N",1
2015-12-20,"Brazil","Canada",3,"H",1
2016-01-24,"Montenegro","Spain",0,"H",2
2016-01-26,"Greece","Albania",3,"H",2
2016-01-23,"Papua New Guinea","New Zealand",1,"H",3
2016-01-12,"Mali","Burkina Faso",5,"H",1
2016-01-19,"Portugal","Poland",1,"H",1
2016-01-19,"Malta","Latvia",3,"H",1
2016-01-21,"China PR","Mexico",0,"H",1
2016-01-21,"Korea Republic","Vietnam",5,"N",1
2016-01-21,"Israel","Ukraine",0,"H",1
2016-01-21,"Portugal","Poland",0,"H",1
2016-01-21,"Malta","Latvia",1,"H",1
2016-01-22,"Denmark","Netherlands",0,"N",1
2016-01-22,"Norway","Romania",6,"N",1
2016-01-23,"USA","Republic of Ireland",5,"H",1
2016-01-23,"Mexico","Korea Republic",2,"N",1
2016-01-23,"China PR","Vietnam",8,"H",1
2016-01-23,"Israel","Ukraine",1,"H",1
2016-01-24,"Bahrain","Maldives",4,"H",1
2016-01-25,"Denmark","Netherlands",1,"N",1
2016-01-26,"China PR","Korea Republic",2,"H",1
2016-01-26,"Mexico","Vietnam",1,"N",1
2016-01-26,"Sweden","Scotland",6,"H",1
2016-01-26,"Norway","France",0,"N",2
2016-01-28,"Bahrain","Maldives",1,"H",1
2016-01-29,"Singapore","Sri Lanka",0,"H",1
2016-02-29,"China PR","Vietnam",2,"N",3
2016-02-29,"Korea DPR","Korea Republic",1,"N",3
2016-02-29,"Japan","Australia",1,"H",3
2016-02-10,"USA","Costa Rica",5,"H",3
2016-02-10,"Puerto Rico","Mexico",0,"N",3
2016-02-11,"Canada","Guyana",5,"N",3
2016-02-11,"Guatemala","Trinidad and Tobago",1,"N",3
2016-02-13,"Costa Rica","Puerto Rico",9,"N",3
2016-02-13,"USA","Mexico",1,"H",3
2016-02-14,"Guyana","Guatemala",2,"N",3
2016-02-14,"Trinidad and Tobago","Canada",0,"N",3
2016-02-15,"USA","Puerto Rico",10,"H",3
2016-02-15,"Mexico","Costa Rica",1,"N",3
2016-02-16,"Canada","Guatemala",10,"N",3
2016-02-16,"Trinidad and Tobago","Guyana",5,"N",3
2016-02-19,"USA","Trinidad and Tobago",5,"H",3
2016-02-19,"Canada","Costa Rica",3,"N",3
2016-02-21,"USA","Canada",2,"H",3
2016-02-02,"Algeria","Mali",2,"H",1
2016-02-05,"India","Maldives",0,"H",1
2016-02-05,"Algeria","Mali",5,"H",1
2016-02-09,"India","Sri Lanka",5,"H",1
2016-02-11,"India","Nepal",0,"H",1
2016-02-13,"India","Bangladesh",5,"H",1
2016-02-14,"Poland","Iceland",1,"H",1
2016-02-15,"India","Nepal",4,"H",1
2016-02-24,"United Arab Emirates","Georgia",0,"H",1
2016-02-27,"United Arab Emirates","Georgia",1,"H",1
2016-03-02,"Australia","Vietnam",9,"N",3
2016-03-02,"Korea DPR","China PR",1,"N",3
2016-03-02,"Japan","Korea Republic",1,"H",3
2016-03-04,"Vietnam","Korea DPR",0,"N",3
2016-03-04,"Korea Republic","Australia",0,"N",3
2016-03-04,"Japan","China PR",1,"H",3
2016-03-07,"China PR","Korea Republic",1,"N",3
2016-03-07,"Korea DPR","Australia",1,"N",3
2016-03-07,"Japan","Vietnam",6,"H",3
2016-03-09,"Korea Republic","Vietnam",4,"N",3
2016-03-09,"Australia","China PR",1,"N",3
2016-03-09,"Japan","Korea DPR",1,"H",3
2016-03-04,"Albania","Ukraine",0,"H",2
2016-03-08,"Greece","Ukraine",1,"H",2
2016-03-02,"Sweden","Norway",1,"N",3
2016-03-02,"Netherlands","Switzerland",4,"H",3
2016-03-05,"Netherlands","Norway",1,"H",3
2016-03-05,"Sweden","Switzerland",1,"N",3
2016-03-09,"Netherlands","Sweden",1,"H",3
2016-03-09,"Norway","Switzerland",1,"N",3
2016-03-04,"Tanzania","Zimbabwe",1,"H",2
2016-03-05,"Senegal","Guinea",1,"H",2
2016-03-05,"Botswana","Mauritius",6,"H",2
2016-03-05,"Burkina Faso","Tunisia",0,"H",2
2016-03-05,"Mali","Morocco",0,"H",2
2016-03-06,"Zambia","Namibia",3,"H",2
2016-03-06,"Libya","Egypt",0,"N",2
2016-03-06,"Algeria","Ethiopia",1,"H",2
2016-03-18,"Namibia","Zambia",2,"H",2
2016-03-19,"Morocco","Mali",1,"H",2
2016-03-19,"Mauritius","Botswana",0,"H",2
2016-03-19,"Guinea","Senegal",1,"H",2
2016-03-19,"Tunisia","Burkina Faso",2,"H",2
2016-03-20,"Egypt","Libya",5,"H",2
2016-03-20,"Zimbabwe","Tanzania",1,"H",2
2016-03-26,"Ethiopia","Algeria",1,"H",2
2016-03-02,"Austria","Republic of Ireland",2,"N",1
2016-03-02,"Hungary","Italy",0,"N",1
2016-03-02,"Wales","Finland",2,"N",1
2016-03-02,"Slovakia","Northern Ireland",1,"N",1
2016-03-02,"Poland","Czech Republic",1,"N",1
2016-03-02,"Iceland","Belgium",2,"N",1
2016-03-02,"Canada","Denmark",0,"N",1
2016-03-02,"Portugal","Russia",0,"H",1
2016-03-02,"Brazil","New Zealand",1,"N",1
2016-03-03,"United Arab Emirates","Maldives",2,"H",1
2016-03-03,"Germany","France",1,"N",2
2016-03-03,"USA","England",1,"H",2
2016-03-04,"Romania","Spain",0,"H",1
2016-03-04,"Croatia","Northern Ireland",0,"H",1
2016-03-04,"Austria","Hungary",2,"N",1
2016-03-04,"Poland","Wales",1,"N",1
2016-03-04,"Italy","Republic of Ireland",1,"N",1
2016-03-04,"Canada","Belgium",1,"N",1
2016-03-04,"Denmark","Iceland",1,"N",1
2016-03-04,"Finland","Czech Republic",1,"N",1
2016-03-04,"New Zealand","Russia",0,"N",1
2016-03-04,"Portugal","Brazil",1,"H",1
2016-03-06,"United Arab Emirates","Maldives",1,"H",1
2016-03-06,"USA","France",1,"H",2
2016-03-06,"Germany","England",2,"N",2
2016-03-07,"Finland","Poland",0,"N",1
2016-03-07,"Czech Republic","Wales",1,"N",1
2016-03-07,"Croatia","Slovakia",0,"H",1
2016-03-07,"Italy","Austria",0,"N",1
2016-03-07,"Brazil","Russia",3,"N",1
2016-03-07,"Portugal","New Zealand",0,"H",1
2016-03-07,"Republic of Ireland","Hungary",0,"N",1
2016-03-07,"Denmark","Belgium",1,"N",1
2016-03-07,"Canada","Iceland",1,"N",1
2016-03-08,"Scotland","Spain",1,"H",1
2016-03-09,"Republic of Ireland","Finland",2,"N",1
2016-03-09,"Italy","Czech Republic",3,"N",1
2016-03-09,"Hungary","Wales",2,"N",1
2016-03-09,"Austria","Poland",2,"N",1
2016-03-09,"Belgium","Russia",5,"N",1
2016-03-09,"Portugal","Denmark",1,"H",1
2016-03-09,"Iceland","New Zealand",1,"N",1
2016-03-09,"Canada","Brazil",2,"N",1
